1.00000e-06 1.00000e+00 -1.00000e-06
6.00000e-06 1.00000e+00 -6.00000e-06
3.10000e-05 1.00000e+00 -3.10000e-05
1.56000e-04 1.00000e+00 -1.56000e-04
7.81000e-04 1.00000e+00 -7.81000e-04
3.90600e-03 9.99992e-01 -3.90599e-03
1.95310e-02 9.99809e-01 -1.95303e-02
9.76560e-02 9.95229e-01 -9.78417e-02
3.47811e-01 9.36115e-01 -4.00529e-01
4.64024e-01 8.75691e-01 -6.68374e-01
5.59488e-01 7.92943e-01 -1.12488e+00
6.31552e-01 6.87994e-01 -1.88821e+00
6.90068e-01 5.42307e-01 -3.27910e+00
7.35587e-01 3.45683e-01 -5.65816e+00
7.65517e-01 1.35915e-01 -8.61812e+00
7.91446e-01 -1.36889e-01 -1.26850e+01
8.17376e-01 -5.32542e-01 -1.78691e+01
8.35526e-01 -8.83504e-01 -2.04277e+01
8.54387e-01 -1.26684e+00 -1.94400e+01
8.69773e-01 -1.53813e+00 -1.54585e+01
8.85160e-01 -1.73705e+00 -1.04054e+01
9.02025e-01 -1.87156e+00 -5.82115e+00
9.18890e-01 -1.94325e+00 -2.95119e+00
9.38585e-01 -1.98233e+00 -1.24041e+00
9.58280e-01 -1.99833e+00 -4.90308e-01
9.78327e-01 -2.00450e+00 -1.72051e-01
1.00081e+00 -2.00656e+00 -3.37987e-02
1.02615e+00 -2.00661e+00 1.95124e-02
1.05485e+00 -2.00574e+00 3.75018e-02
1.08770e+00 -2.00440e+00 4.27361e-02
1.12583e+00 -2.00274e+00 4.40383e-02
1.17095e+00 -2.00074e+00 4.43456e-02
1.22565e+00 -1.99831e+00 4.44673e-02
1.29408e+00 -1.99527e+00 4.45833e-02
1.38375e+00 -1.99126e+00 4.47330e-02
1.49536e+00 -1.98626e+00 4.49214e-02
1.61767e+00 -1.98075e+00 4.51309e-02
1.75288e+00 -1.97463e+00 4.53661e-02
1.88809e+00 -1.96848e+00 4.56061e-02
1.99184e+00 -1.96374e+00 4.57921e-02
2.10068e+00 -1.95875e+00 4.59904e-02
2.22439e+00 -1.95304e+00 4.62191e-02
2.34974e+00 -1.94724e+00 4.64549e-02
2.46324e+00 -1.94195e+00 4.66715e-02
2.58844e+00 -1.93609e+00 4.69144e-02
2.72054e+00 -1.92988e+00 4.71751e-02
2.85978e+00 -1.92329e+00 4.74551e-02
2.99938e+00 -1.91665e+00 4.77415e-02
3.11536e+00 -1.91109e+00 4.79835e-02
